instance,family,type,our_dist,our_veh,din_dist,din_veh,sin_dist,sin_veh
C101,C,1,827.3,10,827.3,10,827.3,10
C102,C,1,827.3,10,827.3,10,827.3,10
C103,C,1,826.3,10,826.3,10,826.3,10
C104,C,1,822.9,10,822.9,10,822.9,10
C105,C,1,827.3,10,827.3,10,827.3,10
C106,C,1,827.3,10,827.3,10,827.3,10
C107,C,1,827.3,10,827.3,10,827.3,10
C108,C,1,827.3,10,827.3,10,827.3,10
C109,C,1,827.3,10,827.3,10,827.3,10
C201,C,2,589.1,3,589.1,3,589.1,3
C202,C,2,589.1,3,589.1,3,589.1,3
C203,C,2,588.7,3,588.7,3,588.7,3
C204,C,2,591.4,3,588.1,3,588.1,3
C205,C,2,586.4,3,586.4,3,586.4,3
C206,C,2,586.0,3,586.0,3,586.0,3
C207,C,2,585.8,3,585.8,3,585.8,3
C208,C,2,585.8,3,585.8,3,585.8,3
R101,R,1,1639.9,20,1637.7,20,1645.7,19
R102,R,1,1467.6,18,1466.6,18,1481.2,17
R103,R,1,1218.0,15,1208.7,14,1288.1,13
R104,R,1,987.9,11,971.5,11,1002.4,9
R105,R,1,1362.5,15,1355.3,15,1372.3,14
R106,R,1,1243.4,13,1234.6,13,1247.4,12
R107,R,1,1083.8,12,1064.6,11,1100.1,10
R108,R,1,955.9,10,932.1,10,956.4,9
R109,R,1,1159.3,13,1146.9,13,1189.8,11
R110,R,1,1104.2,12,1068.0,12,1114.4,10
R111,R,1,1055.5,12,1048.7,12,1092.0,10
R112,R,1,977.5,10,948.6,10,977.7,9
R201,R,2,1209.3,5,1143.2,8,1248.4,4
R202,R,2,1053.1,5,1029.6,8,1187.9,3
R203,R,2,919.4,4,870.8,6,935.7,3
R204,R,2,749.5,3,731.3,5,821.1,2
R205,R,2,989.5,4,949.8,5,990.3,3
R206,R,2,920.6,4,875.9,5,902.4,3
R207,R,2,822.1,3,794.0,4,886.6,2
R208,R,2,710.8,3,701.0,4,722.6,2
R209,R,2,883.6,4,854.8,5,904.9,3
R210,R,2,929.3,4,900.5,6,935.3,3
R211,R,2,784.2,3,746.7,4,882.0,2
RC101,RC,1,1643.6,17,1619.8,15,1693.2,14
RC102,RC,1,1474.9,15,1457.4,14,1551.1,12
RC103,RC,1,1275.0,12,1258.0,11,1258.0,11
RC104,RC,1,1149.9,11,1132.3,10,1132.3,10
RC105,RC,1,1532.4,16,1513.7,15,1625.0,13
RC106,RC,1,1388.5,14,1372.7,12,1421.0,11
RC107,RC,1,1220.4,12,1207.8,12,1227.1,11
RC108,RC,1,1114.2,11,1114.2,11,1136.3,10
RC201,RC,2,1300.3,5,1261.8,9,1403.3,4
RC202,RC,2,1144.1,5,1092.3,8,1362.7,3
RC203,RC,2,976.1,4,923.7,5,1046.3,3
RC204,RC,2,798.2,4,783.5,4,795.5,3
RC205,RC,2,1230.0,6,1154.0,7,1294.3,4
RC206,RC,2,1090.4,4,1051.1,7,1143.3,3
RC207,RC,2,1013.9,4,962.9,6,1057.8,3
RC208,RC,2,843.2,3,776.1,4,825.1,3
