algorithm,instance,family,type,seed,run_idx,distance,vehicles,time_ms,iters,feasible,ref_dinamics,gap_pct
grasp,C101,C,1,1,0,827.3,10,1013,133,1,827.3,0.000
grasp,C101,C,1,2,1,827.3,10,1015,133,1,827.3,0.000
grasp,C101,C,1,3,2,827.3,10,1018,133,1,827.3,0.000
grasp,C101,C,1,4,3,827.3,10,1012,133,1,827.3,0.000
grasp,C101,C,1,5,4,827.3,10,1027,133,1,827.3,0.000
grasp,C101,C,1,6,5,827.3,10,1016,133,1,827.3,0.000
grasp,C101,C,1,7,6,827.3,10,1030,133,1,827.3,0.000
grasp,C101,C,1,8,7,827.3,10,1023,133,1,827.3,0.000
grasp,C101,C,1,9,8,827.3,10,1006,133,1,827.3,0.000
grasp,C101,C,1,10,9,827.3,10,1023,133,1,827.3,0.000
grasp,C101,C,1,11,10,827.3,10,1016,133,1,827.3,0.000
grasp,C101,C,1,12,11,827.3,10,1025,133,1,827.3,0.000
grasp,C101,C,1,13,12,827.3,10,1012,133,1,827.3,0.000
grasp,C101,C,1,14,13,827.3,10,1024,133,1,827.3,0.000
grasp,C101,C,1,15,14,827.3,10,952,133,1,827.3,0.000
grasp,C101,C,1,16,15,827.3,10,959,133,1,827.3,0.000
grasp,C101,C,1,17,16,827.3,10,1019,133,1,827.3,0.000
grasp,C101,C,1,18,17,827.3,10,961,133,1,827.3,0.000
grasp,C101,C,1,19,18,827.3,10,1016,133,1,827.3,0.000
grasp,C101,C,1,20,19,827.3,10,958,133,1,827.3,0.000
grasp,C101,C,1,21,20,827.3,10,958,133,1,827.3,0.000
grasp,C101,C,1,22,21,827.3,10,948,133,1,827.3,0.000
grasp,C101,C,1,23,22,827.3,10,1017,133,1,827.3,0.000
grasp,C101,C,1,24,23,827.3,10,945,133,1,827.3,0.000
grasp,C101,C,1,25,24,827.3,10,1014,133,1,827.3,0.000
grasp,C101,C,1,26,25,827.3,10,1016,133,1,827.3,0.000
grasp,C101,C,1,27,26,827.3,10,949,133,1,827.3,0.000
grasp,C101,C,1,28,27,827.3,10,1009,133,1,827.3,0.000
grasp,C101,C,1,29,28,827.3,10,965,133,1,827.3,0.000
grasp,C101,C,1,30,29,827.3,10,1013,133,1,827.3,0.000
i1,C101,C,1,1,0,922.0,10,0,0,1,827.3,11.447
rgrasp,C101,C,1,1,0,827.3,10,2899,132,1,827.3,0.000
rgrasp,C101,C,1,2,1,827.3,10,2847,132,1,827.3,0.000
rgrasp,C101,C,1,3,2,827.3,10,2723,132,1,827.3,0.000
rgrasp,C101,C,1,4,3,827.3,10,2698,132,1,827.3,0.000
rgrasp,C101,C,1,5,4,827.3,10,2815,132,1,827.3,0.000
rgrasp,C101,C,1,6,5,827.3,10,2725,132,1,827.3,0.000
rgrasp,C101,C,1,7,6,827.3,10,2924,132,1,827.3,0.000
rgrasp,C101,C,1,8,7,827.3,10,2798,132,1,827.3,0.000
rgrasp,C101,C,1,9,8,827.3,10,2605,132,1,827.3,0.000
rgrasp,C101,C,1,10,9,827.3,10,2474,132,1,827.3,0.000
rgrasp,C101,C,1,11,10,827.3,10,2617,132,1,827.3,0.000
