algorithm,instance,family,type,seed,run_idx,distance,vehicles,time_ms,feasible,ref_dinamics,gap_pct
grasp,C104,C,1,1,0,822.9,10,60000,1,822.9,0.000
grasp,C104,C,1,2,1,822.9,10,60000,1,822.9,0.000
grasp,C104,C,1,3,2,822.9,10,60000,1,822.9,0.000
grasp,C104,C,1,4,3,822.9,10,60000,1,822.9,0.000
grasp,C104,C,1,5,4,822.9,10,60000,1,822.9,0.000
grasp,C104,C,1,6,5,822.9,10,60000,1,822.9,0.000
grasp,C104,C,1,7,6,822.9,10,60000,1,822.9,0.000
grasp,C104,C,1,8,7,822.9,10,60000,1,822.9,0.000
grasp,C104,C,1,9,8,822.9,10,60000,1,822.9,0.000
grasp,C104,C,1,10,9,822.9,10,60001,1,822.9,0.000
grasp,C104,C,1,11,10,822.9,10,60000,1,822.9,0.000
grasp,C104,C,1,12,11,822.9,10,60000,1,822.9,0.000
grasp,C104,C,1,13,12,822.9,10,60000,1,822.9,0.000
grasp,C104,C,1,14,13,822.9,10,60000,1,822.9,0.000
grasp,C104,C,1,15,14,822.9,10,60000,1,822.9,0.000
grasp,C104,C,1,16,15,822.9,10,60000,1,822.9,0.000
grasp,C104,C,1,17,16,822.9,10,60000,1,822.9,0.000
grasp,C104,C,1,18,17,822.9,10,60000,1,822.9,0.000
grasp,C104,C,1,19,18,822.9,10,60001,1,822.9,0.000
grasp,C104,C,1,20,19,822.9,10,60000,1,822.9,0.000
grasp,C104,C,1,21,20,822.9,10,60000,1,822.9,0.000
grasp,C104,C,1,22,21,822.9,10,60000,1,822.9,0.000
grasp,C104,C,1,23,22,822.9,10,60000,1,822.9,0.000
grasp,C104,C,1,24,23,822.9,10,60000,1,822.9,0.000
grasp,C104,C,1,25,24,822.9,10,60000,1,822.9,0.000
grasp,C104,C,1,26,25,822.9,10,60000,1,822.9,0.000
grasp,C104,C,1,27,26,822.9,10,60000,1,822.9,0.000
grasp,C104,C,1,28,27,822.9,10,60000,1,822.9,0.000
grasp,C104,C,1,29,28,822.9,10,60000,1,822.9,0.000
grasp,C104,C,1,30,29,822.9,10,60000,1,822.9,0.000
i1,C104,C,1,1,0,1148.2,10,0,1,822.9,39.531
rgrasp,C104,C,1,1,0,822.9,10,60000,1,822.9,0.000
rgrasp,C104,C,1,2,1,822.9,10,60000,1,822.9,0.000
rgrasp,C104,C,1,3,2,822.9,10,60000,1,822.9,0.000
rgrasp,C104,C,1,4,3,822.9,10,60000,1,822.9,0.000
rgrasp,C104,C,1,5,4,822.9,10,60000,1,822.9,0.000
rgrasp,C104,C,1,6,5,822.9,10,60001,1,822.9,0.000
rgrasp,C104,C,1,7,6,822.9,10,60000,1,822.9,0.000
rgrasp,C104,C,1,8,7,822.9,10,60001,1,822.9,0.000
rgrasp,C104,C,1,9,8,822.9,10,60000,1,822.9,0.000
rgrasp,C104,C,1,10,9,822.9,10,60000,1,822.9,0.000
rgrasp,C104,C,1,11,10,822.9,10,60000,1,822.9,0.000
rgrasp,C104,C,1,12,11,822.9,10,60001,1,822.9,0.000
rgrasp,C104,C,1,13,12,822.9,10,60001,1,822.9,0.000
rgrasp,C104,C,1,14,13,822.9,10,60000,1,822.9,0.000
rgrasp,C104,C,1,15,14,822.9,10,60001,1,822.9,0.000
rgrasp,C104,C,1,16,15,822.9,10,60000,1,822.9,0.000
rgrasp,C104,C,1,17,16,822.9,10,60001,1,822.9,0.000
rgrasp,C104,C,1,18,17,822.9,10,60000,1,822.9,0.000
rgrasp,C104,C,1,19,18,822.9,10,60000,1,822.9,0.000
rgrasp,C104,C,1,20,19,822.9,10,60000,1,822.9,0.000
rgrasp,C104,C,1,21,20,822.9,10,60000,1,822.9,0.000
rgrasp,C104,C,1,22,21,822.9,10,60000,1,822.9,0.000
rgrasp,C104,C,1,23,22,822.9,10,60000,1,822.9,0.000
rgrasp,C104,C,1,24,23,822.9,10,60000,1,822.9,0.000
rgrasp,C104,C,1,25,24,822.9,10,60000,1,822.9,0.000
rgrasp,C104,C,1,26,25,822.9,10,60000,1,822.9,0.000
rgrasp,C104,C,1,27,26,822.9,10,60000,1,822.9,0.000
rgrasp,C104,C,1,28,27,822.9,10,60000,1,822.9,0.000
rgrasp,C104,C,1,29,28,822.9,10,60000,1,822.9,0.000
rgrasp,C104,C,1,30,29,822.9,10,60000,1,822.9,0.000
tabu,C104,C,1,1,0,822.9,10,60003,1,822.9,0.000
