algorithm,instance,family,type,seed,run_idx,distance,vehicles,time_ms,iters,feasible,ref_dinamics,gap_pct
grasp,C101,C,1,1,0,827.3,10,1837,251,1,827.3,0.000
grasp,C101,C,1,2,1,827.3,10,1985,251,1,827.3,0.000
grasp,C101,C,1,3,2,827.3,10,1835,251,1,827.3,0.000
grasp,C101,C,1,4,3,827.3,10,1981,251,1,827.3,0.000
grasp,C101,C,1,5,4,827.3,10,1823,251,1,827.3,0.000
grasp,C101,C,1,6,5,827.3,10,1985,251,1,827.3,0.000
grasp,C101,C,1,7,6,827.3,10,1840,251,1,827.3,0.000
grasp,C101,C,1,8,7,827.3,10,1836,251,1,827.3,0.000
grasp,C101,C,1,9,8,827.3,10,1833,251,1,827.3,0.000
grasp,C101,C,1,10,9,827.3,10,1829,251,1,827.3,0.000
grasp,C101,C,1,11,10,827.3,10,1992,251,1,827.3,0.000
grasp,C101,C,1,12,11,827.3,10,1990,251,1,827.3,0.000
grasp,C101,C,1,13,12,827.3,10,1849,251,1,827.3,0.000
grasp,C101,C,1,14,13,827.3,10,1992,251,1,827.3,0.000
grasp,C101,C,1,15,14,827.3,10,1858,251,1,827.3,0.000
grasp,C101,C,1,16,15,827.3,10,1844,251,1,827.3,0.000
grasp,C101,C,1,17,16,827.3,10,1859,251,1,827.3,0.000
grasp,C101,C,1,18,17,827.3,10,1835,251,1,827.3,0.000
grasp,C101,C,1,19,18,827.3,10,1851,251,1,827.3,0.000
grasp,C101,C,1,20,19,827.3,10,1998,251,1,827.3,0.000
grasp,C101,C,1,21,20,827.3,10,2002,251,1,827.3,0.000
grasp,C101,C,1,22,21,827.3,10,1849,251,1,827.3,0.000
grasp,C101,C,1,23,22,827.3,10,1980,251,1,827.3,0.000
grasp,C101,C,1,24,23,827.3,10,2000,251,1,827.3,0.000
grasp,C101,C,1,25,24,827.3,10,1845,251,1,827.3,0.000
grasp,C101,C,1,26,25,827.3,10,1988,251,1,827.3,0.000
grasp,C101,C,1,27,26,827.3,10,1854,251,1,827.3,0.000
grasp,C101,C,1,28,27,827.3,10,1975,251,1,827.3,0.000
grasp,C101,C,1,29,28,827.3,10,1862,251,1,827.3,0.000
grasp,C101,C,1,30,29,827.3,10,1855,251,1,827.3,0.000
i1,C101,C,1,1,0,922.0,10,0,0,1,827.3,11.447
rgrasp,C101,C,1,1,0,827.3,10,5355,251,1,827.3,0.000
rgrasp,C101,C,1,2,1,827.3,10,5267,251,1,827.3,0.000
rgrasp,C101,C,1,3,2,827.3,10,5288,251,1,827.3,0.000
rgrasp,C101,C,1,4,3,827.3,10,4816,251,1,827.3,0.000
rgrasp,C101,C,1,5,4,827.3,10,5253,251,1,827.3,0.000
rgrasp,C101,C,1,6,5,827.3,10,5197,251,1,827.3,0.000
rgrasp,C101,C,1,7,6,827.3,10,5236,251,1,827.3,0.000
rgrasp,C101,C,1,8,7,827.3,10,5156,251,1,827.3,0.000
rgrasp,C101,C,1,9,8,827.3,10,5139,251,1,827.3,0.000
rgrasp,C101,C,1,10,9,827.3,10,4927,251,1,827.3,0.000
rgrasp,C101,C,1,11,10,827.3,10,5230,251,1,827.3,0.000
rgrasp,C101,C,1,12,11,827.3,10,5457,251,1,827.3,0.000
rgrasp,C101,C,1,13,12,827.3,10,5724,251,1,827.3,0.000
rgrasp,C101,C,1,14,13,827.3,10,5213,251,1,827.3,0.000
rgrasp,C101,C,1,15,14,827.3,10,5348,251,1,827.3,0.000
rgrasp,C101,C,1,16,15,827.3,10,5201,251,1,827.3,0.000
rgrasp,C101,C,1,17,16,827.3,10,5272,251,1,827.3,0.000
rgrasp,C101,C,1,18,17,827.3,10,4830,251,1,827.3,0.000
rgrasp,C101,C,1,19,18,827.3,10,5063,251,1,827.3,0.000
rgrasp,C101,C,1,20,19,827.3,10,5052,251,1,827.3,0.000
rgrasp,C101,C,1,21,20,827.3,10,5161,251,1,827.3,0.000
rgrasp,C101,C,1,22,21,827.3,10,5088,251,1,827.3,0.000
rgrasp,C101,C,1,23,22,827.3,10,5213,251,1,827.3,0.000
rgrasp,C101,C,1,24,23,827.3,10,5494,251,1,827.3,0.000
rgrasp,C101,C,1,25,24,827.3,10,5393,251,1,827.3,0.000
rgrasp,C101,C,1,26,25,827.3,10,5460,251,1,827.3,0.000
rgrasp,C101,C,1,27,26,827.3,10,4987,251,1,827.3,0.000
rgrasp,C101,C,1,28,27,827.3,10,5208,251,1,827.3,0.000
rgrasp,C101,C,1,29,28,827.3,10,5389,251,1,827.3,0.000
rgrasp,C101,C,1,30,29,827.3,10,5158,251,1,827.3,0.000
tabu,C101,C,1,1,0,827.3,10,86,17,1,827.3,0.000
vnd,C101,C,1,1,0,827.3,10,7,0,1,827.3,0.000
grasp,C102,C,1,1,0,827.3,10,4562,251,1,827.3,0.000
grasp,C102,C,1,2,1,827.3,10,4453,251,1,827.3,0.000
grasp,C102,C,1,3,2,827.3,10,4436,251,1,827.3,0.000
grasp,C102,C,1,4,3,827.3,10,4543,252,1,827.3,0.000
grasp,C102,C,1,5,4,827.3,10,4508,252,1,827.3,0.000
grasp,C102,C,1,6,5,827.3,10,4941,257,1,827.3,0.000
grasp,C102,C,1,7,6,827.3,10,4421,254,1,827.3,0.000
grasp,C102,C,1,8,7,827.3,10,4715,253,1,827.3,0.000
grasp,C102,C,1,9,8,827.3,10,4594,251,1,827.3,0.000
grasp,C102,C,1,10,9,827.3,10,4521,255,1,827.3,0.000
grasp,C102,C,1,11,10,827.3,10,4624,251,1,827.3,0.000
grasp,C102,C,1,12,11,827.3,10,4581,253,1,827.3,0.000
grasp,C102,C,1,13,12,827.3,10,4618,253,1,827.3,0.000
grasp,C102,C,1,14,13,827.3,10,4529,251,1,827.3,0.000
grasp,C102,C,1,15,14,827.3,10,4286,251,1,827.3,0.000
grasp,C102,C,1,16,15,827.3,10,4572,251,1,827.3,0.000
grasp,C102,C,1,17,16,827.3,10,4571,251,1,827.3,0.000
grasp,C102,C,1,18,17,827.3,10,4553,254,1,827.3,0.000
grasp,C102,C,1,19,18,827.3,10,4606,251,1,827.3,0.000
grasp,C102,C,1,20,19,827.3,10,4502,251,1,827.3,0.000
grasp,C102,C,1,21,20,827.3,10,4712,251,1,827.3,0.000
grasp,C102,C,1,22,21,827.3,10,4864,253,1,827.3,0.000
grasp,C102,C,1,23,22,827.3,10,4660,252,1,827.3,0.000
grasp,C102,C,1,24,23,827.3,10,4461,251,1,827.3,0.000
grasp,C102,C,1,25,24,827.3,10,4671,252,1,827.3,0.000
grasp,C102,C,1,26,25,827.3,10,4443,251,1,827.3,0.000
grasp,C102,C,1,27,26,827.3,10,4380,252,1,827.3,0.000
grasp,C102,C,1,28,27,827.3,10,4797,252,1,827.3,0.000
grasp,C102,C,1,29,28,827.3,10,4573,251,1,827.3,0.000
grasp,C102,C,1,30,29,827.3,10,4473,252,1,827.3,0.000
i1,C102,C,1,1,0,1039.7,10,0,0,1,827.3,25.674
rgrasp,C102,C,1,1,0,827.3,10,8461,251,1,827.3,0.000
rgrasp,C102,C,1,2,1,827.3,10,8983,251,1,827.3,0.000
rgrasp,C102,C,1,3,2,827.3,10,8254,251,1,827.3,0.000
rgrasp,C102,C,1,4,3,827.3,10,8396,252,1,827.3,0.000
rgrasp,C102,C,1,5,4,827.3,10,8474,257,1,827.3,0.000
rgrasp,C102,C,1,6,5,827.3,10,8076,251,1,827.3,0.000
rgrasp,C102,C,1,7,6,827.3,10,8927,251,1,827.3,0.000
rgrasp,C102,C,1,8,7,827.3,10,8162,251,1,827.3,0.000
rgrasp,C102,C,1,9,8,827.3,10,9329,251,1,827.3,0.000
rgrasp,C102,C,1,10,9,827.3,10,8393,254,1,827.3,0.000
rgrasp,C102,C,1,11,10,827.3,10,8371,252,1,827.3,0.000
rgrasp,C102,C,1,12,11,827.3,10,8411,251,1,827.3,0.000
rgrasp,C102,C,1,13,12,827.3,10,8749,252,1,827.3,0.000
rgrasp,C102,C,1,14,13,827.3,10,8377,251,1,827.3,0.000
rgrasp,C102,C,1,15,14,827.3,10,8426,252,1,827.3,0.000
rgrasp,C102,C,1,16,15,827.3,10,8658,251,1,827.3,0.000
rgrasp,C102,C,1,17,16,827.3,10,8432,251,1,827.3,0.000
rgrasp,C102,C,1,18,17,827.3,10,8413,251,1,827.3,0.000
rgrasp,C102,C,1,19,18,827.3,10,8896,253,1,827.3,0.000
