algorithm,instance,family,type,seed,run_idx,distance,vehicles,time_ms,iters,feasible,ref_dinamics,gap_pct
grasp,R101,R,1,1,0,1644.5,20,446,11,1,1637.7,0.415
grasp,R101,R,1,2,1,1644.8,20,66,1,1,1637.7,0.434
grasp,R101,R,1,3,2,1641.8,20,70,1,1,1637.7,0.250
grasp,R101,R,1,4,3,1650.5,20,1786,55,1,1637.7,0.782
grasp,R101,R,1,5,4,1646.9,20,1476,46,1,1637.7,0.562
grasp,R101,R,1,6,5,1653.8,20,405,12,1,1637.7,0.983
grasp,R101,R,1,7,6,1643.5,20,194,5,1,1637.7,0.354
grasp,R101,R,1,8,7,1645.1,20,179,5,1,1637.7,0.452
grasp,R101,R,1,9,8,1649.6,20,241,6,1,1637.7,0.727
grasp,R101,R,1,10,9,1648.0,20,2718,83,1,1637.7,0.629
grasp,R101,R,1,11,10,1653.4,20,3038,93,1,1637.7,0.959
grasp,R101,R,1,12,11,1646.4,20,164,4,1,1637.7,0.531
grasp,R101,R,1,13,12,1650.5,20,64,1,1,1637.7,0.782
grasp,R101,R,1,14,13,1641.4,20,870,25,1,1637.7,0.226
grasp,R101,R,1,15,14,1650.0,20,211,5,1,1637.7,0.751
grasp,R101,R,1,16,15,1649.7,20,174,4,1,1637.7,0.733
grasp,R101,R,1,17,16,1651.4,20,2213,61,1,1637.7,0.837
grasp,R101,R,1,18,17,1654.0,20,722,23,1,1637.7,0.995
grasp,R101,R,1,19,18,1645.0,20,125,3,1,1637.7,0.446
grasp,R101,R,1,20,19,1647.0,20,1047,31,1,1637.7,0.568
grasp,R101,R,1,21,20,1648.3,20,197,5,1,1637.7,0.647
grasp,R101,R,1,22,21,1652.5,20,1443,43,1,1637.7,0.904
grasp,R101,R,1,23,22,1648.5,20,51,0,1,1637.7,0.659
grasp,R101,R,1,24,23,1650.7,20,671,18,1,1637.7,0.794
grasp,R101,R,1,25,24,1653.2,20,94,1,1,1637.7,0.946
grasp,R101,R,1,26,25,1648.3,20,1141,35,1,1637.7,0.647
grasp,R101,R,1,27,26,1644.9,20,986,28,1,1637.7,0.440
grasp,R101,R,1,28,27,1644.8,20,1230,35,1,1637.7,0.434
grasp,R101,R,1,29,28,1653.9,20,1261,39,1,1637.7,0.989
grasp,R101,R,1,30,29,1648.3,20,223,5,1,1637.7,0.647
grasp,R101,R,1,31,30,1645.1,20,786,20,1,1637.7,0.452
grasp,R101,R,1,32,31,1645.1,20,1611,48,1,1637.7,0.452
grasp,R101,R,1,33,32,1644.8,20,268,6,1,1637.7,0.434
grasp,R101,R,1,34,33,1646.2,20,2443,73,1,1637.7,0.519
grasp,R101,R,1,35,34,1645.1,20,169,3,1,1637.7,0.452
grasp,R101,R,1,36,35,1644.8,20,99,2,1,1637.7,0.434
grasp,R101,R,1,37,36,1654.0,20,368,9,1,1637.7,0.995
grasp,R101,R,1,38,37,1647.8,20,751,23,1,1637.7,0.617
grasp,R101,R,1,39,38,1647.1,20,787,23,1,1637.7,0.574
grasp,R101,R,1,40,39,1648.1,20,641,15,1,1637.7,0.635
grasp,R101,R,1,41,40,1642.9,20,382,10,1,1637.7,0.318
grasp,R101,R,1,42,41,1645.0,20,513,13,1,1637.7,0.446
grasp,R101,R,1,43,42,1654.0,20,2088,59,1,1637.7,0.995
grasp,R101,R,1,44,43,1648.3,20,483,14,1,1637.7,0.647
grasp,R101,R,1,45,44,1648.4,20,89,2,1,1637.7,0.653
grasp,R101,R,1,46,45,1654.0,20,514,15,1,1637.7,0.995
grasp,R101,R,1,47,46,1650.7,20,160,4,1,1637.7,0.794
grasp,R101,R,1,48,47,1652.5,20,31,0,1,1637.7,0.904
grasp,R101,R,1,49,48,1643.0,20,1031,28,1,1637.7,0.324
grasp,R101,R,1,50,49,1647.1,20,696,21,1,1637.7,0.574
grasp,R101,R,1,51,50,1648.5,20,68,1,1,1637.7,0.659
grasp,R101,R,1,52,51,1654.0,20,375,9,1,1637.7,0.995
grasp,R101,R,1,53,52,1647.8,20,1557,47,1,1637.7,0.617
grasp,R101,R,1,54,53,1650.7,20,486,14,1,1637.7,0.794
grasp,R101,R,1,55,54,1649.8,20,950,31,1,1637.7,0.739
grasp,R101,R,1,56,55,1643.3,20,964,28,1,1637.7,0.342
grasp,R101,R,1,57,56,1653.8,20,1307,39,1,1637.7,0.983
grasp,R101,R,1,58,57,1648.3,20,684,20,1,1637.7,0.647
grasp,R101,R,1,59,58,1646.4,20,1318,33,1,1637.7,0.531
grasp,R101,R,1,60,59,1644.5,20,195,5,1,1637.7,0.415
grasp,R101,R,1,61,60,1649.9,20,742,23,1,1637.7,0.745
grasp,R101,R,1,62,61,1648.1,20,340,9,1,1637.7,0.635
grasp,R101,R,1,63,62,1651.9,20,1748,55,1,1637.7,0.867
grasp,R101,R,1,64,63,1648.5,20,600,16,1,1637.7,0.659
grasp,R101,R,1,65,64,1653.0,20,444,12,1,1637.7,0.934
grasp,R101,R,1,66,65,1644.3,20,297,8,1,1637.7,0.403
grasp,R101,R,1,67,66,1650.5,20,782,21,1,1637.7,0.782
grasp,R101,R,1,68,67,1648.5,20,1439,43,1,1637.7,0.659
grasp,R101,R,1,69,68,1644.9,20,2405,77,1,1637.7,0.440
grasp,R101,R,1,70,69,1648.3,20,552,16,1,1637.7,0.647
