elapsed_ms,best
7,1095.6
15,1055.1
22,1026.5
30,1002.9
37,987.4
45,953.7
52,940.1
60,928
67,916.4
75,899.6
82,892.3
89,885.4
97,878.7
104,872.4
111,866.6
118,861.5
126,856.9
133,853.3
140,823.4
147,819.1
155,814.4
162,811.1
169,808.3
176,806.1
183,804.3
191,802.4
198,800.9
205,797.5
212,793
220,788.9
227,787.2
234,785.5
241,784.1
249,782.9
256,778.6
263,777.5
270,776.8
278,776.6
314,776.4
321,767.5
329,761.9
336,761.6
343,761.5
379,761
386,756.9
394,755.7
401,735.5
408,722.2
415,715.8
422,710.4
430,706.1
437,705.5
444,704.9
451,704.3
2811,697.8
2818,687.8
2826,682.9
2833,678.3
2840,674.1
2847,670
2854,667.8
2862,663.8
2869,662.4
2876,661.1
2883,660.5
