elapsed_ms,best
9,927.1
18,914.8
27,905.5
36,895.7
45,886.6
53,878.5
62,873.1
71,868.2
80,861.9
89,857.8
97,854.2
106,851.1
115,848.3
124,844.7
132,842.4
141,840.7
150,838.6
159,836.5
167,835.4
176,834.6
185,831.2
193,830.5
202,826.1
211,825.4
220,824.5
228,823.8
237,823.7
246,823.6
324,822.4
332,821.2
341,820.1
349,819
358,818.3
3523,817.9
3532,816.7
3540,815.5
3549,815.2
3566,814.7
3574,814.6
4119,812.4
4128,808.2
4137,806
4145,794.3
4154,793.1
4163,792.4
4171,791.7
4180,791.1
4189,791
4198,789.4
4416,789
4425,787.7
4434,787.3
4442,787
8600,785.4
8610,783.3
8620,781.4
8630,779.9
8640,779.1
8728,778.5
8738,777.7
8748,777.2
9318,776.6
9328,775.7
9338,775.1
15651,774.7
15661,773.6
15671,773.1
15680,772.7
15690,772.1
15700,772
15710,771.8
15749,771.7
18234,771.1
18244,768.8
18254,768.4
18263,767.7
