elapsed_ms,best
4,1772.8
8,1743.6
13,1715
17,1686.8
22,1661.7
26,1648.1
30,1637.6
35,1630.4
39,1623.6
44,1619.1
48,1614.8
53,1606.5
57,1598.7
61,1594.5
66,1590.3
70,1586.2
75,1582.2
79,1563.1
83,1554.2
88,1551.1
92,1548.8
96,1545.7
101,1543.4
105,1541.4
110,1539.8
114,1538.4
118,1537.3
123,1536.7
127,1536.2
131,1536
135,1533.9
140,1533.7
153,1530.4
157,1529.5
161,1529.1
165,1528.7
187,1510.5
191,1509.3
196,1509.1
209,1509
213,1507.4
226,1507.2
231,1502.7
235,1501.3
239,1501.1
3222,1500.7
3227,1499.1
3231,1497.9
3236,1496.8
3240,1495.4
3244,1494.5
3249,1494
3253,1493.6
3257,1492.4
3262,1492
3275,1491.9
3279,1491.8
3310,1491
3314,1490.1
3319,1489.6
3323,1486.9
3327,1486.6
8477,1486.4
8481,1484.4
8485,1483.6
8489,1482.7
8493,1482.1
8497,1481.6
8501,1481.2
8505,1480.8
8509,1480.4
