config,neighborhoods,instance,family,type,dist,veh,time_ms,gap_pct
cumul:Relocate,relocate,C101,C,1,827.3,10,20,0.0
cumul:Relocate+Or-opt,"relocate,oropt",C101,C,1,827.3,10,30,0.0
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C101,C,1,827.3,10,29,0.0
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C101,C,1,827.3,10,31,0.0
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C101,C,1,827.3,10,38,0.0
sem:Relocate,"oropt,swap,twoopt,cross",C101,C,1,883.3,10,41,6.7690076151335665
sem:Or-opt,"relocate,swap,twoopt,cross",C101,C,1,827.3,10,31,0.0
sem:Swap,"relocate,oropt,twoopt,cross",C101,C,1,827.3,10,42,0.0
sem:2-opt,"relocate,oropt,swap,cross",C101,C,1,827.3,10,40,0.0
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C101,C,1,827.3,10,27,0.0
cumul:Relocate,relocate,C102,C,1,841.1,10,34,1.6680768765864946
cumul:Relocate+Or-opt,"relocate,oropt",C102,C,1,841.1,10,43,1.6680768765864946
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C102,C,1,841.1,10,48,1.6680768765864946
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C102,C,1,841.1,10,50,1.6680768765864946
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C102,C,1,841.1,10,60,1.6680768765864946
sem:Relocate,"oropt,swap,twoopt,cross",C102,C,1,906.3,10,123,9.549135742777711
sem:Or-opt,"relocate,swap,twoopt,cross",C102,C,1,841.1,10,51,1.6680768765864946
sem:Swap,"relocate,oropt,twoopt,cross",C102,C,1,841.1,10,54,1.6680768765864946
sem:2-opt,"relocate,oropt,swap,cross",C102,C,1,841.1,10,75,1.6680768765864946
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C102,C,1,841.1,10,52,1.6680768765864946
cumul:Relocate,relocate,C103,C,1,931.0,11,49,12.670942756867973
cumul:Relocate+Or-opt,"relocate,oropt",C103,C,1,926.1,11,72,12.077937794989722
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C103,C,1,921.7,11,103,11.545443543507213
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C103,C,1,881.4,10,133,6.668280285610556
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C103,C,1,873.2,10,196,5.675904635120427
sem:Relocate,"oropt,swap,twoopt,cross",C103,C,1,931.7,11,293,12.755657751422014
sem:Or-opt,"relocate,swap,twoopt,cross",C103,C,1,879.8,10,113,6.474646012344186
sem:Swap,"relocate,oropt,twoopt,cross",C103,C,1,879.8,10,161,6.474646012344186
sem:2-opt,"relocate,oropt,swap,cross",C103,C,1,913.5,11,162,10.55306789301707
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C103,C,1,881.4,10,128,6.668280285610556
cumul:Relocate,relocate,C104,C,1,1068.1,10,29,29.79705918094543
cumul:Relocate+Or-opt,"relocate,oropt",C104,C,1,1053.0,10,101,27.962085308056878
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C104,C,1,1022.6,10,188,24.267833272572613
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C104,C,1,898.2,10,269,9.150565074735699
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C104,C,1,898.2,10,263,9.150565074735699
sem:Relocate,"oropt,swap,twoopt,cross",C104,C,1,932.8,10,388,13.355207194069752
sem:Or-opt,"relocate,swap,twoopt,cross",C104,C,1,972.8,10,108,18.21606513549641
sem:Swap,"relocate,oropt,twoopt,cross",C104,C,1,900.9,10,178,9.47867298578199
sem:2-opt,"relocate,oropt,swap,cross",C104,C,1,1012.7,10,218,23.06477093206952
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C104,C,1,898.2,10,255,9.150565074735699
cumul:Relocate,relocate,C105,C,1,827.3,10,20,0.0
cumul:Relocate+Or-opt,"relocate,oropt",C105,C,1,827.3,10,28,0.0
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C105,C,1,827.3,10,28,0.0
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C105,C,1,827.3,10,27,0.0
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C105,C,1,827.3,10,38,0.0
sem:Relocate,"oropt,swap,twoopt,cross",C105,C,1,854.4,10,48,3.2757161851807113
sem:Or-opt,"relocate,swap,twoopt,cross",C105,C,1,827.3,10,30,0.0
sem:Swap,"relocate,oropt,twoopt,cross",C105,C,1,827.3,10,38,0.0
sem:2-opt,"relocate,oropt,swap,cross",C105,C,1,827.3,10,41,0.0
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C105,C,1,827.3,10,26,0.0
cumul:Relocate,relocate,C106,C,1,827.3,10,30,0.0
cumul:Relocate+Or-opt,"relocate,oropt",C106,C,1,827.3,10,38,0.0
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C106,C,1,827.3,10,39,0.0
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C106,C,1,827.3,10,47,0.0
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C106,C,1,827.3,10,53,0.0
sem:Relocate,"oropt,swap,twoopt,cross",C106,C,1,913.9,11,85,10.467786776260127
sem:Or-opt,"relocate,swap,twoopt,cross",C106,C,1,827.3,10,43,0.0
sem:Swap,"relocate,oropt,twoopt,cross",C106,C,1,827.3,10,50,0.0
sem:2-opt,"relocate,oropt,swap,cross",C106,C,1,827.3,10,53,0.0
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C106,C,1,827.3,10,46,0.0
cumul:Relocate,relocate,C107,C,1,827.3,10,17,0.0
cumul:Relocate+Or-opt,"relocate,oropt",C107,C,1,827.3,10,26,0.0
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C107,C,1,827.3,10,24,0.0
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C107,C,1,827.3,10,29,0.0
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C107,C,1,827.3,10,41,0.0
sem:Relocate,"oropt,swap,twoopt,cross",C107,C,1,865.2,10,67,4.581167653813622
sem:Or-opt,"relocate,swap,twoopt,cross",C107,C,1,827.3,10,31,0.0
sem:Swap,"relocate,oropt,twoopt,cross",C107,C,1,827.3,10,39,0.0
sem:2-opt,"relocate,oropt,swap,cross",C107,C,1,827.3,10,36,0.0
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C107,C,1,827.3,10,24,0.0
cumul:Relocate,relocate,C108,C,1,827.3,10,36,0.0
cumul:Relocate+Or-opt,"relocate,oropt",C108,C,1,827.3,10,70,0.0
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C108,C,1,827.3,10,49,0.0
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C108,C,1,827.3,10,49,0.0
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C108,C,1,827.3,10,67,0.0
sem:Relocate,"oropt,swap,twoopt,cross",C108,C,1,890.2,10,151,7.603046053426822
sem:Or-opt,"relocate,swap,twoopt,cross",C108,C,1,827.3,10,59,0.0
sem:Swap,"relocate,oropt,twoopt,cross",C108,C,1,827.3,10,60,0.0
sem:2-opt,"relocate,oropt,swap,cross",C108,C,1,827.3,10,59,0.0
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C108,C,1,827.3,10,45,0.0
cumul:Relocate,relocate,C109,C,1,880.2,11,39,6.394294693581541
cumul:Relocate+Or-opt,"relocate,oropt",C109,C,1,880.2,11,49,6.394294693581541
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C109,C,1,880.2,11,50,6.394294693581541
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C109,C,1,880.2,11,58,6.394294693581541
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C109,C,1,880.2,11,57,6.394294693581541
sem:Relocate,"oropt,swap,twoopt,cross",C109,C,1,891.4,11,99,7.748096216608246
sem:Or-opt,"relocate,swap,twoopt,cross",C109,C,1,880.2,11,52,6.394294693581541
sem:Swap,"relocate,oropt,twoopt,cross",C109,C,1,880.2,11,65,6.394294693581541
sem:2-opt,"relocate,oropt,swap,cross",C109,C,1,880.2,11,65,6.394294693581541
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C109,C,1,880.2,11,51,6.394294693581541
cumul:Relocate,relocate,C201,C,2,589.1,3,13,0.0
cumul:Relocate+Or-opt,"relocate,oropt",C201,C,2,589.1,3,28,0.0
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C201,C,2,589.1,3,31,0.0
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C201,C,2,589.1,3,35,0.0
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C201,C,2,589.1,3,51,0.0
sem:Relocate,"oropt,swap,twoopt,cross",C201,C,2,589.1,3,56,0.0
sem:Or-opt,"relocate,swap,twoopt,cross",C201,C,2,589.1,3,34,0.0
sem:Swap,"relocate,oropt,twoopt,cross",C201,C,2,589.1,3,48,0.0
sem:2-opt,"relocate,oropt,swap,cross",C201,C,2,589.1,3,51,0.0
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C201,C,2,589.1,3,37,0.0
cumul:Relocate,relocate,C202,C,2,617.9,3,68,4.888813444236964
cumul:Relocate+Or-opt,"relocate,oropt",C202,C,2,617.9,3,82,4.888813444236964
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C202,C,2,617.9,3,81,4.888813444236964
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C202,C,2,617.9,3,81,4.888813444236964
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C202,C,2,617.9,3,107,4.888813444236964
sem:Relocate,"oropt,swap,twoopt,cross",C202,C,2,634.2,4,237,7.65574605330165
sem:Or-opt,"relocate,swap,twoopt,cross",C202,C,2,617.9,3,90,4.888813444236964
sem:Swap,"relocate,oropt,twoopt,cross",C202,C,2,617.9,3,107,4.888813444236964
sem:2-opt,"relocate,oropt,swap,cross",C202,C,2,617.9,3,107,4.888813444236964
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C202,C,2,617.9,3,90,4.888813444236964
cumul:Relocate,relocate,C203,C,2,691.1,4,103,17.394258535756745
cumul:Relocate+Or-opt,"relocate,oropt",C203,C,2,631.3,4,193,7.236283336164415
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C203,C,2,622.2,4,233,5.690504501443859
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C203,C,2,622.2,4,236,5.690504501443859
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C203,C,2,622.2,4,251,5.690504501443859
sem:Relocate,"oropt,swap,twoopt,cross",C203,C,2,649.1,4,477,10.259894683200267
sem:Or-opt,"relocate,swap,twoopt,cross",C203,C,2,690.0,4,134,17.20740614914217
sem:Swap,"relocate,oropt,twoopt,cross",C203,C,2,631.3,4,209,7.236283336164415
sem:2-opt,"relocate,oropt,swap,cross",C203,C,2,622.2,4,250,5.690504501443859
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C203,C,2,622.2,4,223,5.690504501443859
cumul:Relocate,relocate,C204,C,2,886.2,4,135,50.68865839143003
cumul:Relocate+Or-opt,"relocate,oropt",C204,C,2,791.2,4,330,34.53494303689849
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C204,C,2,787.0,4,360,33.820778779119195
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C204,C,2,787.0,4,356,33.820778779119195
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C204,C,2,770.0,4,419,30.930113926203024
sem:Relocate,"oropt,swap,twoopt,cross",C204,C,2,805.5,4,593,36.96650229552797
sem:Or-opt,"relocate,swap,twoopt,cross",C204,C,2,848.8,4,223,44.32919571501444
sem:Swap,"relocate,oropt,twoopt,cross",C204,C,2,774.2,4,409,31.644278183982316
sem:2-opt,"relocate,oropt,swap,cross",C204,C,2,770.0,4,414,30.930113926203024
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C204,C,2,787.0,4,355,33.820778779119195
