instance,family,type,din_dist,din_veh,din_cost_declared,din_feasible,sin_dist,sin_veh,sin_feasible
C101,C,1,827.3,10,827.3,1,827.3,10,1
C102,C,1,827.3,10,827.3,1,827.3,10,1
C103,C,1,826.3,10,826.3,1,826.3,10,1
C104,C,1,822.9,10,822.9,1,822.9,10,1
C105,C,1,827.3,10,827.3,1,827.3,10,1
C106,C,1,827.3,10,827.3,1,827.3,10,1
C107,C,1,827.3,10,827.3,1,827.3,10,1
C108,C,1,827.3,10,827.3,1,827.3,10,1
C109,C,1,827.3,10,827.3,1,827.3,10,1
C201,C,2,589.1,3,589.1,1,589.1,3,1
C202,C,2,589.1,3,589.1,1,589.1,3,1
C203,C,2,588.7,3,588.7,1,588.7,3,1
C204,C,2,588.1,3,588.1,1,588.1,3,1
C205,C,2,586.4,3,586.4,1,586.4,3,1
C206,C,2,586.0,3,586.0,1,586.0,3,1
C207,C,2,585.8,3,585.8,1,585.8,3,1
C208,C,2,585.8,3,585.8,1,585.8,3,1
R101,R,1,1637.7,20,1637.7,1,1645.7,19,1
R102,R,1,1466.6,18,1466.6,1,1481.2,17,1
R103,R,1,1208.7,14,1208.7,1,1288.1,13,1
R104,R,1,971.5,11,971.5,1,1002.4,9,1
R105,R,1,1355.3,15,1355.3,1,1372.3,14,1
R106,R,1,1234.6,13,1234.6,1,1247.4,12,1
R107,R,1,1064.6,11,1064.6,1,1100.1,10,1
R108,R,1,932.1,10,932.1,1,956.4,9,1
R109,R,1,1146.9,13,1146.9,1,1189.8,11,1
R110,R,1,1068.0,12,1068.0,1,1114.4,10,1
R111,R,1,1048.7,12,1048.7,1,1092.0,10,1
R112,R,1,948.6,10,948.6,1,977.7,9,1
R201,R,2,1143.2,8,1143.2,1,1248.4,4,1
R202,R,2,1029.6,8,1029.6,1,1187.9,3,1
R203,R,2,870.8,6,870.8,1,935.7,3,1
R204,R,2,731.3,5,731.3,1,821.1,2,1
R205,R,2,949.8,5,949.8,1,990.3,3,1
R206,R,2,875.9,5,875.9,1,902.4,3,1
R207,R,2,794.0,4,794.0,1,886.6,2,1
R208,R,2,701.0,4,701.0,1,722.6,2,1
R209,R,2,854.8,5,854.8,1,904.9,3,1
R210,R,2,900.5,6,900.5,1,935.3,3,1
R211,R,2,746.7,4,746.7,1,882.0,2,1
RC101,RC,1,1619.8,15,1619.8,1,1693.2,14,1
RC102,RC,1,1457.4,14,1457.4,1,1551.1,12,1
RC103,RC,1,1258.0,11,1258.0,1,1258.0,11,1
RC104,RC,1,1132.3,10,1132.3,1,1132.3,10,1
RC105,RC,1,1513.7,15,1513.7,1,1625.0,13,1
RC106,RC,1,1372.7,12,1372.7,1,1421.0,11,1
RC107,RC,1,1207.8,12,1207.8,1,1227.1,11,1
RC108,RC,1,1114.2,11,1114.2,1,1136.3,10,1
RC201,RC,2,1261.8,9,1261.8,1,1403.3,4,1
RC202,RC,2,1092.3,8,1092.3,1,1362.7,3,1
RC203,RC,2,923.7,5,923.7,1,1046.3,3,1
RC204,RC,2,783.5,4,783.5,1,795.5,3,1
RC205,RC,2,1154.0,7,1154.0,1,1294.3,4,1
RC206,RC,2,1051.1,7,1051.1,1,1143.3,3,1
RC207,RC,2,962.9,6,962.9,1,1057.8,3,1
RC208,RC,2,776.1,4,776.1,1,825.1,3,1
