seed,regime,distancia_total,coletas,transbordos,ciclos_com_rota
0,dinamico,3516.9,117,27,15
0,estatico,3562.1,228,23,6
1,dinamico,3861.2,127,33,15
1,estatico,3754.3,228,20,6
2,dinamico,3820.6,125,26,15
2,estatico,3685.2,228,19,6
3,dinamico,3571.3,127,24,15
3,estatico,3614.2,228,19,6
4,dinamico,3891.6,130,25,15
4,estatico,3702.4,228,17,6
5,dinamico,4093.6,126,27,15
5,estatico,3729.9,228,12,6
6,dinamico,3987.3,133,30,15
6,estatico,3777.8,228,26,6
7,dinamico,3643.4,120,30,15
7,estatico,3693.7,228,13,6
8,dinamico,3864.2,120,24,15
8,estatico,3687.4,228,12,6
9,dinamico,3582.6,120,26,15
9,estatico,3586.7,228,24,6
10,dinamico,3923.1,125,34,15
10,estatico,3861.0,228,11,6
11,dinamico,3256.4,106,19,14
11,estatico,3453.2,228,10,6
12,dinamico,3897.1,134,34,15
12,estatico,3804.6,228,26,6
13,dinamico,3982.2,127,17,15
13,estatico,3661.0,228,16,6
14,dinamico,3502.0,123,29,15
14,estatico,3517.5,228,25,6
15,dinamico,3756.0,124,27,15
15,estatico,3667.9,228,17,6
16,dinamico,3904.7,125,31,15
16,estatico,3737.1,228,18,6
17,dinamico,3688.0,120,29,15
17,estatico,3588.0,228,15,6
18,dinamico,3900.5,124,25,15
18,estatico,3667.6,228,19,6
19,dinamico,3654.5,120,24,15
19,estatico,3599.2,228,24,6
20,dinamico,3466.8,115,16,15
20,estatico,3430.8,228,14,6
21,dinamico,3555.2,120,22,15
21,estatico,3607.5,228,15,6
22,dinamico,3891.8,130,26,15
22,estatico,3757.8,228,21,6
23,dinamico,3610.0,125,35,15
23,estatico,3649.9,228,19,6
24,dinamico,3834.7,120,26,15
24,estatico,3664.5,228,23,6
25,dinamico,3667.3,126,23,15
25,estatico,3644.1,228,16,6
26,dinamico,3541.9,120,22,15
26,estatico,3632.3,228,15,6
27,dinamico,3901.4,130,27,15
27,estatico,3665.4,228,23,6
28,dinamico,3826.2,141,39,15
28,estatico,3832.5,228,36,6
29,dinamico,3938.7,117,34,15
29,estatico,3673.1,228,24,6
