ciclo,periodo,regime,lixeiras_roteadas,veiculos,distancia,transbordos_acum
0,fora,dinamico,0,0,0.0,0
1,pico,dinamico,11,4,337.0,1
2,pico,dinamico,16,6,431.9,9
3,fora,dinamico,1,1,45.2,10
4,fora,dinamico,3,1,76.4,10
5,pico,dinamico,11,4,279.9,12
6,pico,dinamico,13,5,381.0,18
7,fora,dinamico,4,2,89.5,18
8,fora,dinamico,6,2,214.5,19
9,pico,dinamico,10,4,321.3,21
10,pico,dinamico,11,4,333.8,25
11,fora,dinamico,5,2,196.8,25
12,fora,dinamico,1,1,47.8,25
13,pico,dinamico,12,4,340.6,26
14,pico,dinamico,8,3,271.1,27
15,fora,dinamico,5,2,150.1,27
0,fora,estatico,38,5,439.8,0
1,pico,estatico,0,0,0.0,0
2,pico,estatico,0,0,0.0,4
3,fora,estatico,38,10,712.2,7
4,fora,estatico,0,0,0.0,7
5,pico,estatico,0,0,0.0,7
6,pico,estatico,38,9,674.6,15
7,fora,estatico,0,0,0.0,15
8,fora,estatico,0,0,0.0,15
9,pico,estatico,38,7,534.2,18
10,pico,estatico,0,0,0.0,18
11,fora,estatico,0,0,0.0,18
12,fora,estatico,38,7,575.8,19
13,pico,estatico,0,0,0.0,19
14,pico,estatico,0,0,0.0,21
15,fora,estatico,38,8,625.5,23
