instance,algorithm,bks,T_ms,runs,gap_mean,gap_best
C101,grasp,827.3,3000,4,0.0,0.0
C101,rgrasp,827.3,3000,4,0.0,0.0
C101,tabu,827.3,3000,1,0.0,0.0
C101,vnd,827.3,3000,1,0.0,0.0
R101,grasp,1637.7,3000,4,0.5389,0.3664
R101,rgrasp,1637.7,3000,4,0.5999,0.519
R101,tabu,1637.7,3000,1,0.403,0.403
R101,vnd,1637.7,3000,1,2.2471,2.2471
R201,grasp,1143.2,3000,4,6.7836,5.7558
R201,rgrasp,1143.2,3000,4,6.7508,5.7995
R201,tabu,1143.2,3000,1,7.549,7.549
R201,vnd,1143.2,3000,1,11.7302,11.7302
RC205,grasp,1154.0,3000,4,9.6209,7.435
RC205,rgrasp,1154.0,3000,4,7.3614,5.7019
RC205,tabu,1154.0,3000,1,11.2132,11.2132
RC205,vnd,1154.0,3000,1,19.662,19.662
