instance,family,type,our_dist,our_veh,din_dist,din_veh,sin_dist,sin_veh
C101,C,1,827.3,10,827.3,10,827.3,10
C102,C,1,827.3,10,827.3,10,827.3,10
C103,C,1,826.3,10,826.3,10,826.3,10
C104,C,1,822.9,10,822.9,10,822.9,10
C105,C,1,827.3,10,827.3,10,827.3,10
C106,C,1,827.3,10,827.3,10,827.3,10
C107,C,1,827.3,10,827.3,10,827.3,10
C108,C,1,827.3,10,827.3,10,827.3,10
C109,C,1,827.3,10,827.3,10,827.3,10
C201,C,2,589.1,3,589.1,3,589.1,3
C202,C,2,589.1,3,589.1,3,589.1,3
C203,C,2,588.7,3,588.7,3,588.7,3
C204,C,2,591.4,3,588.1,3,588.1,3
C205,C,2,586.4,3,586.4,3,586.4,3
C206,C,2,586.0,3,586.0,3,586.0,3
C207,C,2,585.8,3,585.8,3,585.8,3
C208,C,2,585.8,3,585.8,3,585.8,3
R101,R,1,1638.2,20,1637.7,20,1645.7,19
R102,R,1,1466.6,18,1466.6,18,1481.2,17
R103,R,1,1213.7,14,1208.7,14,1288.1,13
R104,R,1,989.1,11,971.5,11,1002.4,9
R105,R,1,1358.7,16,1355.3,15,1372.3,14
R106,R,1,1243.4,13,1234.6,13,1247.4,12
R107,R,1,1078.7,12,1064.6,11,1100.1,10
R108,R,1,945.0,11,932.1,10,956.4,9
R109,R,1,1154.1,13,1146.9,13,1189.8,11
R110,R,1,1089.5,12,1068.0,12,1114.4,10
R111,R,1,1060.6,12,1048.7,12,1092.0,10
R112,R,1,960.8,11,948.6,10,977.7,9
R201,R,2,1184.8,5,1143.2,8,1248.4,4
R202,R,2,1037.7,5,1029.6,8,1187.9,3
R203,R,2,894.5,4,870.8,6,935.7,3
R204,R,2,739.4,4,731.3,5,821.1,2
R205,R,2,962.0,4,949.8,5,990.3,3
R206,R,2,890.3,4,875.9,5,902.4,3
R207,R,2,813.7,3,794.0,4,886.6,2
R208,R,2,704.3,3,701.0,4,722.6,2
R209,R,2,862.4,4,854.8,5,904.9,3
R210,R,2,917.3,4,900.5,6,935.3,3
R211,R,2,776.3,3,746.7,4,882.0,2
RC101,RC,1,1638.9,16,1619.8,15,1693.2,14
RC102,RC,1,1461.1,15,1457.4,14,1551.1,12
RC103,RC,1,1273.6,12,1258.0,11,1258.0,11
RC104,RC,1,1150.2,11,1132.3,10,1132.3,10
RC105,RC,1,1534.4,16,1513.7,15,1625.0,13
RC106,RC,1,1388.7,14,1372.7,12,1421.0,11
RC107,RC,1,1218.1,13,1207.8,12,1227.1,11
RC108,RC,1,1124.4,11,1114.2,11,1136.3,10
RC201,RC,2,1291.3,5,1261.8,9,1403.3,4
RC202,RC,2,1115.7,5,1092.3,8,1362.7,3
RC203,RC,2,942.0,4,923.7,5,1046.3,3
RC204,RC,2,783.5,4,783.5,4,795.5,3
RC205,RC,2,1180.0,6,1154.0,7,1294.3,4
RC206,RC,2,1076.4,4,1051.1,7,1143.3,3
RC207,RC,2,981.2,5,962.9,6,1057.8,3
RC208,RC,2,788.1,4,776.1,4,825.1,3
