design,config,neighborhoods,instance,family,distance,vehicles,feasible,gap_pct
cumul,2-opt intra,twoopt,C104,C1,1069.4,10,1,29.955
cumul,2-opt intra,twoopt,C105,C1,878.9,10,1,6.2372
cumul,2-opt intra,twoopt,C107,C1,902.4,10,1,9.0777
cumul,2-opt intra,twoopt,C108,C1,958.2,10,1,15.8226
cumul,2-opt intra,twoopt,C203,C2,882.6,4,1,49.9236
cumul,2-opt intra,twoopt,C206,C2,632.3,3,1,7.901
cumul,2-opt intra,twoopt,C207,C2,725.3,3,1,23.8136
cumul,2-opt intra,twoopt,C208,C2,692.4,3,1,18.1973
cumul,2-opt intra,twoopt,R102,R1,1708.6,19,1,16.5008
cumul,2-opt intra,twoopt,R103,R1,1530.3,16,1,26.6071
cumul,2-opt intra,twoopt,R105,R1,1578.2,15,1,16.4465
cumul,2-opt intra,twoopt,R107,R1,1319.2,12,1,23.9151
cumul,2-opt intra,twoopt,R108,R1,1211.1,11,1,29.9324
cumul,2-opt intra,twoopt,R111,R1,1265.7,12,1,20.6923
cumul,2-opt intra,twoopt,R202,R2,1549.9,4,1,50.5342
cumul,2-opt intra,twoopt,R204,R2,1063.5,4,1,45.426
cumul,2-opt intra,twoopt,R207,R2,1124.7,3,1,41.6499
cumul,2-opt intra,twoopt,R208,R2,955.9,3,1,36.3623
cumul,2-opt intra,twoopt,R209,R2,1275.0,4,1,49.1577
cumul,2-opt intra,twoopt,R211,R2,1001.7,3,1,34.1503
cumul,2-opt intra,twoopt,RC102,RC,1785.5,15,1,22.5127
cumul,2-opt intra,twoopt,RC103,RC,1527.9,12,1,21.4547
cumul,2-opt intra,twoopt,RC105,RC,1822.4,16,1,20.3937
cumul,2-opt intra,twoopt,RC108,RC,1346.2,11,1,20.8221
cumul,2-opt intra,twoopt,RC202,RC,1636.9,4,1,49.8581
cumul,2-opt intra,twoopt,RC203,RC,1424.1,4,1,54.1734
cumul,2-opt intra,twoopt,RC206,RC,1585.8,4,1,50.8705
cumul,2-opt intra,twoopt,RC208,RC,1084.4,3,1,39.7243
cumul,2-opt intra+Swap,"twoopt,swap",C104,C1,1027.2,10,1,24.8268
cumul,2-opt intra+Swap,"twoopt,swap",C105,C1,873.8,10,1,5.6207
cumul,2-opt intra+Swap,"twoopt,swap",C107,C1,898.4,10,1,8.5942
cumul,2-opt intra+Swap,"twoopt,swap",C108,C1,891.1,10,1,7.7118
cumul,2-opt intra+Swap,"twoopt,swap",C203,C2,848.1,4,1,44.0632
cumul,2-opt intra+Swap,"twoopt,swap",C206,C2,632.3,3,1,7.901
cumul,2-opt intra+Swap,"twoopt,swap",C207,C2,714.6,3,1,21.987
