algorithm,instance,family,type,dist_mean,dist_best,dist_std,veh_mean,gap_mean,gap_best,time_mean_ms,iters_mean,improvements_mean,time_to_best_mean_ms,useful_pct_mean
grasp,C101,C,1,827.3,827.3,0.0,10.0,0.0,0.0,15739.166666666666,802.0,2.6,40.3,0.25719400774019585
grasp,C102,C,1,827.3,827.3,0.0,10.0,0.0,0.0,32657.133333333335,805.8,3.466666666666667,237.0,0.7188903345973239
grasp,C103,C,1,826.3,826.3,0.0,10.0,0.0,0.0,40959.833333333336,870.3333333333334,6.0,3335.133333333333,7.650547425550679
grasp,C104,C,1,825.25,822.9,4.261677668679805,10.0,0.2856666666666667,0.0,65558.36666666667,1518.4666666666667,9.2,31122.666666666668,41.361734321297746
grasp,C105,C,1,827.3,827.3,0.0,10.0,0.0,0.0,20511.7,802.8,2.433333333333333,72.3,0.350398056846978
grasp,C106,C,1,827.3,827.3,0.0,10.0,0.0,0.0,23945.233333333334,803.2333333333333,3.0,98.26666666666667,0.4070084045607643
grasp,C107,C,1,827.3,827.3,0.0,10.0,0.0,0.0,25120.4,804.9666666666667,2.9,157.86666666666667,0.6313378237632187
grasp,C108,C,1,827.3,827.3,0.0,10.0,0.0,0.0,27467.966666666667,811.6,4.233333333333333,393.73333333333335,1.4234664962302723
grasp,C109,C,1,827.3,827.3,0.0,10.0,0.0,0.0,28070.366666666665,821.5,4.166666666666667,762.0666666666667,2.630608334087047
grasp,C201,C,2,589.1,589.1,0.0,3.0,0.0,0.0,8242.966666666667,801.0,2.0,10.2,0.1239680978998598
grasp,C202,C,2,589.1,589.1,0.0,3.0,0.0,0.0,32521.833333333332,801.9,2.6333333333333333,76.26666666666667,0.233665117782282
grasp,C203,C,2,592.0,588.7,4.411192660682042,3.0,0.5606333333333333,0.0,61809.96666666667,1065.8,5.733333333333333,15114.466666666667,20.42168343690792
grasp,C204,C,2,596.9166666666666,591.4,3.2480321186339935,3.0,1.4988666666666668,0.561,83566.3,1212.9333333333334,8.1,28166.1,28.405670338658304
grasp,C205,C,2,586.4,586.4,0.0,3.0,0.0,0.0,14881.366666666667,801.8333333333334,2.3666666666666667,36.13333333333333,0.24102115832863444
grasp,C206,C,2,586.0,586.0,0.0,3.0,0.0,0.0,20528.6,801.1,2.066666666666667,28.733333333333334,0.14058429657217045
grasp,C207,C,2,585.8,585.8,0.0,3.0,0.0,0.0,19951.866666666665,801.0333333333333,2.033333333333333,25.6,0.12841923109287925
grasp,C208,C,2,585.8,585.8,0.0,3.0,0.0,0.0,23566.466666666667,801.3666666666667,2.3,40.833333333333336,0.17231525120063562
