instance,set,dist_mode,mu,lambda,alpha1,alpha2,seed_rule,tiebreak,vehicles,schedule_time,distance,waiting_time,service_time,cpu_ms,feasible
C101,C1,trunc,1,1,1,0,far,0,10,9981.8000,922.0000,59.8000,9000.0000,0,1
C101,C1,trunc,1,1,1,0,deadline,0,10,9857.8000,851.4000,6.4000,9000.0000,0,1
C101,C1,trunc,1,2,1,0,far,0,10,9981.8000,922.0000,59.8000,9000.0000,0,1
C101,C1,trunc,1,2,1,0,deadline,0,15,11817.6000,1593.8000,1223.8000,9000.0000,0,1
C101,C1,trunc,1,1,0,1,far,0,12,10619.0000,1266.4000,352.6000,9000.0000,0,1
C101,C1,trunc,1,1,0,1,deadline,0,10,9870.9000,853.5000,17.4000,9000.0000,0,1
C101,C1,trunc,1,2,0,1,far,0,13,11423.1000,1344.1000,1079.0000,9000.0000,0,1
C101,C1,trunc,1,2,0,1,deadline,0,12,11156.3000,1355.6000,800.7000,9000.0000,0,1
C101,C1,double,1,1,1,0,far,0,10,9983.2218,923.7062,59.5156,9000.0000,0,1
C101,C1,double,1,1,1,0,deadline,0,10,9859.3426,852.9482,6.3944,9000.0000,0,1
C101,C1,double,1,2,1,0,far,0,10,9983.2218,923.7062,59.5156,9000.0000,0,1
C101,C1,double,1,2,1,0,deadline,0,15,11801.2318,1433.2725,1367.9593,9000.0000,0,1
C101,C1,double,1,1,0,1,far,0,12,10620.4783,1268.6154,351.8630,9000.0000,0,1
C101,C1,double,1,1,0,1,deadline,0,10,9872.2857,855.0654,17.2203,9000.0000,0,1
C101,C1,double,1,2,0,1,far,0,13,11424.4147,1346.4723,1077.9424,9000.0000,0,1
C101,C1,double,1,2,0,1,deadline,0,12,11157.2661,1357.6921,799.5740,9000.0000,0,1
C102,C1,trunc,1,1,1,0,far,0,11,11021.9000,1113.4000,908.5000,9000.0000,0,1
C102,C1,trunc,1,1,1,0,deadline,0,10,10360.4000,1004.8000,355.6000,9000.0000,0,1
C102,C1,trunc,1,2,1,0,far,0,10,10313.9000,1039.7000,274.2000,9000.0000,0,1
C102,C1,trunc,1,2,1,0,deadline,0,11,11788.9000,1592.9000,1196.0000,9000.0000,0,1
C102,C1,trunc,1,1,0,1,far,0,11,11045.4000,1712.4000,333.0000,9000.0000,0,1
C102,C1,trunc,1,1,0,1,deadline,0,11,11035.3000,1152.1000,883.2000,9000.0000,0,1
C102,C1,trunc,1,2,0,1,far,0,12,11128.1000,1736.3000,391.8000,9000.0000,0,1
C102,C1,trunc,1,2,0,1,deadline,0,11,11468.0000,1520.6000,947.4000,9000.0000,0,1
C102,C1,double,1,1,1,0,far,0,11,11023.3261,1115.4103,907.9158,9000.0000,0,1
C102,C1,double,1,1,1,0,deadline,0,10,10361.8508,1006.3839,355.4669,9000.0000,0,1
C102,C1,double,1,2,1,0,far,0,10,10236.8667,1029.4413,207.4254,9000.0000,0,1
C102,C1,double,1,2,1,0,deadline,0,11,11852.9298,1656.2583,1196.6715,9000.0000,0,1
C102,C1,double,1,1,0,1,far,0,12,11444.1103,1857.9423,586.1681,9000.0000,0,1
C102,C1,double,1,1,0,1,deadline,0,11,11036.6296,1153.7434,882.8862,9000.0000,0,1
C102,C1,double,1,2,0,1,far,0,12,11129.7382,1738.6654,391.0728,9000.0000,0,1
C102,C1,double,1,2,0,1,deadline,0,11,11469.1771,1522.8945,946.2825,9000.0000,0,1
C103,C1,trunc,1,1,1,0,far,0,11,11071.9000,1165.9000,906.0000,9000.0000,0,1
C103,C1,trunc,1,1,1,0,deadline,0,10,10898.6000,1059.3000,839.3000,9000.0000,0,1
C103,C1,trunc,1,2,1,0,far,0,11,11058.5000,1221.7000,836.8000,9000.0000,0,1
C103,C1,trunc,1,2,1,0,deadline,0,10,11607.2000,1652.5000,954.7000,9000.0000,0,1
C103,C1,trunc,1,1,0,1,far,0,12,11632.3000,1927.1000,705.2000,9000.0000,0,1
C103,C1,trunc,1,1,0,1,deadline,0,11,11059.9000,1176.8000,883.1000,9000.0000,0,1
C103,C1,trunc,1,2,0,1,far,0,11,11217.5000,1809.0000,408.5000,9000.0000,0,1
C103,C1,trunc,1,2,0,1,deadline,0,11,11557.6000,1662.5000,895.1000,9000.0000,0,1
C103,C1,double,1,1,1,0,far,0,11,11073.1956,1168.3378,904.8578,9000.0000,0,1
C103,C1,double,1,1,1,0,deadline,0,10,10900.0871,1061.2154,838.8717,9000.0000,0,1
C103,C1,double,1,2,1,0,far,0,11,11060.3974,1224.3850,836.0123,9000.0000,0,1
C103,C1,double,1,2,1,0,deadline,0,10,11577.4901,1491.2630,1086.2271,9000.0000,0,1
C103,C1,double,1,1,0,1,far,0,12,11455.5929,1867.5793,588.0136,9000.0000,0,1
C103,C1,double,1,1,0,1,deadline,0,11,11061.5785,1178.7375,882.8410,9000.0000,0,1
C103,C1,double,1,2,0,1,far,0,11,11219.2404,1811.8451,407.3952,9000.0000,0,1
C103,C1,double,1,2,0,1,deadline,0,11,11559.5987,1665.0207,894.5780,9000.0000,0,1
C104,C1,trunc,1,1,1,0,far,0,10,10425.6000,1145.6000,280.0000,9000.0000,0,1
C104,C1,trunc,1,1,1,0,deadline,0,10,11036.2000,1116.0000,920.2000,9000.0000,0,1
C104,C1,trunc,1,2,1,0,far,0,10,10379.6000,1148.2000,231.4000,9000.0000,0,1
C104,C1,trunc,1,2,1,0,deadline,0,10,11195.5000,1235.8000,959.7000,9000.0000,0,1
C104,C1,trunc,1,1,0,1,far,0,12,11392.9000,1453.0000,939.9000,9000.0000,0,1
C104,C1,trunc,1,1,0,1,deadline,0,11,11196.4000,1450.3000,746.1000,9000.0000,0,1
C104,C1,trunc,1,2,0,1,far,0,11,11105.4000,1379.6000,725.8000,9000.0000,0,1
C104,C1,trunc,1,2,0,1,deadline,0,11,11469.3000,1516.8000,952.5000,9000.0000,0,1
C104,C1,double,1,1,1,0,far,0,10,10427.3837,1147.8996,279.4841,9000.0000,0,1
C104,C1,double,1,1,1,0,deadline,0,10,11037.6352,1118.1263,919.5090,9000.0000,0,1
C104,C1,double,1,2,1,0,far,0,10,10381.4854,1150.5122,230.9732,9000.0000,0,1
C104,C1,double,1,2,1,0,deadline,0,10,11733.8478,1368.9385,1364.9093,9000.0000,0,1
