dist_mode,set,n,vehicles_total_ours,vehicles_total_solomon,vehicles_diff,distance_ours,distance_solomon,waiting_ours,waiting_solomon,variable_ours,variable_solomon,variable_dev_pct,dimacs_distance_ours,dimacs_vehicles_total
trunc,R1,12,165,163,2,1458.95,1436.7,260.62,258.8,1719.57,1695.5,1.42,1410.09,168
trunc,C1,9,90,90,0,960.57,951.9,151.37,152.3,1111.93,1104.2,0.7,952.37,91
trunc,RC1,8,107,108,-1,1657.28,1596.5,146.07,178.5,1803.35,1775.0,1.6,1571.41,111
trunc,R2,11,36,36,0,1381.81,1402.4,204.58,175.6,1586.39,1578.0,0.53,1295.19,38
trunc,C2,8,26,25,1,722.69,692.7,141.15,228.6,863.84,921.3,-6.24,705.09,27
trunc,RC2,8,32,31,1,1679.95,1682.1,307.14,273.2,1987.09,1955.3,1.63,1591.04,32
double,R1,12,166,163,3,1482.53,1436.7,253.72,258.8,1736.25,1695.5,2.4,1415.44,170
double,C1,9,90,90,0,960.81,951.9,143.8,152.3,1104.61,1104.2,0.04,953.93,91
double,RC1,8,108,108,0,1610.78,1596.5,192.76,178.5,1803.53,1775.0,1.61,1578.09,111
double,R2,11,35,36,-1,1355.24,1402.4,183.95,175.6,1539.2,1578.0,-2.46,1293.44,38
double,C2,8,26,25,1,740.93,692.7,145.96,228.6,886.88,921.3,-3.74,698.41,26
double,RC2,8,32,31,1,1684.43,1682.1,284.17,273.2,1968.6,1955.3,0.68,1608.74,33
