algorithm,instance,seed,K,distance,gap_pct,derived
grasp,C104,1,50,822.9,0.0,1
grasp,C104,1,100,822.9,0.0,1
grasp,C104,1,200,822.9,0.0,1
grasp,C104,1,400,822.9,0.0,1
grasp,C104,1,800,822.9,0.0,1
grasp,C104,1,1600,822.9,0.0,1
grasp,C104,1,3200,822.9,0.0,0
grasp,C105,1,50,827.3,0.0,1
grasp,C105,1,100,827.3,0.0,1
grasp,C105,1,200,827.3,0.0,1
grasp,C105,1,400,827.3,0.0,1
grasp,C105,1,800,827.3,0.0,1
grasp,C105,1,1600,827.3,0.0,1
grasp,C105,1,3200,827.3,0.0,0
grasp,C107,1,50,827.3,0.0,1
grasp,C107,1,100,827.3,0.0,1
grasp,C107,1,200,827.3,0.0,1
grasp,C107,1,400,827.3,0.0,1
grasp,C107,1,800,827.3,0.0,1
grasp,C107,1,1600,827.3,0.0,1
grasp,C107,1,3200,827.3,0.0,0
grasp,C108,1,50,827.3,0.0,1
grasp,C108,1,100,827.3,0.0,1
grasp,C108,1,200,827.3,0.0,1
grasp,C108,1,400,827.3,0.0,1
grasp,C108,1,800,827.3,0.0,1
grasp,C108,1,1600,827.3,0.0,1
grasp,C108,1,3200,827.3,0.0,0
grasp,C203,1,50,597.7,1.528792,1
grasp,C203,1,100,597.7,1.528792,1
grasp,C203,1,200,597.7,1.528792,1
grasp,C203,1,400,597.7,1.528792,1
grasp,C203,1,800,597.7,1.528792,1
grasp,C203,1,1600,597.7,1.528792,1
grasp,C203,1,3200,588.7,0.0,0
grasp,C206,1,50,586.0,0.0,1
grasp,C206,1,100,586.0,0.0,1
grasp,C206,1,200,586.0,0.0,1
grasp,C206,1,400,586.0,0.0,1
grasp,C206,1,800,586.0,0.0,1
grasp,C206,1,1600,586.0,0.0,1
grasp,C206,1,3200,586.0,0.0,0
grasp,C207,1,50,585.8,0.0,1
grasp,C207,1,100,585.8,0.0,1
grasp,C207,1,200,585.8,0.0,1
grasp,C207,1,400,585.8,0.0,1
grasp,C207,1,800,585.8,0.0,1
grasp,C207,1,1600,585.8,0.0,1
grasp,C207,1,3200,585.8,0.0,0
grasp,C208,1,50,585.8,0.0,1
grasp,C208,1,100,585.8,0.0,1
grasp,C208,1,200,585.8,0.0,1
grasp,C208,1,400,585.8,0.0,1
grasp,C208,1,800,585.8,0.0,1
grasp,C208,1,1600,585.8,0.0,1
grasp,C208,1,3200,585.8,0.0,0
grasp,R102,1,50,1478.7,0.825038,1
grasp,R102,1,100,1478.7,0.825038,1
grasp,R102,1,200,1478.7,0.825038,1
grasp,R102,1,400,1478.7,0.825038,1
grasp,R102,1,800,1478.4,0.804582,1
grasp,R102,1,1600,1478.4,0.804582,1
grasp,R102,1,3200,1478.4,0.804582,0
grasp,R103,1,50,1233.5,2.051791,1
grasp,R103,1,100,1233.5,2.051791,1
grasp,R103,1,200,1233.1,2.018698,1
grasp,R103,1,400,1222.8,1.166543,1
grasp,R103,1,800,1222.8,1.166543,1
grasp,R103,1,1600,1221.0,1.017622,1
grasp,R103,1,3200,1221.0,1.017622,0
grasp,R105,1,50,1390.1,2.567697,1
grasp,R105,1,100,1388.1,2.420128,1
grasp,R105,1,200,1362.1,0.501734,1
grasp,R105,1,400,1362.1,0.501734,1
grasp,R105,1,800,1362.1,0.501734,1
grasp,R105,1,1600,1362.1,0.501734,1
grasp,R105,1,3200,1362.1,0.501734,0
grasp,R107,1,50,1093.3,2.695848,1
grasp,R107,1,100,1093.3,2.695848,1
grasp,R107,1,200,1093.3,2.695848,1
