algorithm,K,instance,time_ms_median,iters
grasp,200,C101,1619,201
grasp,200,C201,1824,201
grasp,200,R101,2916,213
grasp,200,R201,17416,424
grasp,200,RC101,6267,362
grasp,200,RC201,9278,264
grasp,400,C101,3223,401
grasp,400,C201,3641,401
grasp,400,R101,9455,695
grasp,400,R201,39218,990
grasp,400,RC101,9601,562
grasp,400,RC201,24205,689
grasp,800,C101,6402,801
grasp,800,C201,7260,801
grasp,800,R101,14933,1095
grasp,800,R201,76026,1844
grasp,800,RC101,16332,962
grasp,800,RC201,64719,1845
grasp,1600,C101,12454,1601
grasp,1600,C201,14525,1601
grasp,1600,R101,26108,1895
grasp,1600,R201,108773,2644
grasp,1600,RC101,29747,1762
grasp,1600,RC201,92815,2645
rgrasp,200,C101,3327,201
rgrasp,200,C201,2495,201
rgrasp,200,R101,5380,349
rgrasp,200,R201,11048,256
rgrasp,200,RC101,8327,446
rgrasp,200,RC201,12419,334
rgrasp,400,C101,6296,401
rgrasp,400,C201,4853,401
rgrasp,400,R101,11912,779
rgrasp,400,R201,29939,698
rgrasp,400,RC101,11690,646
rgrasp,400,RC201,30543,821
rgrasp,800,C101,12476,801
rgrasp,800,C201,9709,801
rgrasp,800,R101,29677,1945
rgrasp,800,R201,47341,1098
rgrasp,800,RC101,15745,857
rgrasp,800,RC201,44220,1221
rgrasp,1600,C101,24983,1601
rgrasp,1600,C201,19544,1601
rgrasp,1600,R101,64507,4173
rgrasp,1600,R201,139643,3367
rgrasp,1600,RC101,40523,2192
rgrasp,1600,RC201,75776,2021
tabu,200,C101,1727,206
tabu,200,C201,3046,201
tabu,200,R101,764,228
tabu,200,R201,1536,256
tabu,200,RC101,1201,328
tabu,200,RC201,1594,270
tabu,400,C101,3484,406
tabu,400,C201,6080,401
tabu,400,R101,1417,428
tabu,400,R201,4290,716
tabu,400,RC101,1899,528
tabu,400,RC201,6739,1115
tabu,800,C101,6961,806
tabu,800,C201,12406,801
tabu,800,R101,2758,828
tabu,800,R201,6698,1116
tabu,800,RC101,3346,928
tabu,800,RC201,9175,1515
tabu,1600,C101,13871,1606
tabu,1600,C201,24807,1601
tabu,1600,R101,5414,1628
tabu,1600,R201,16805,2784
tabu,1600,RC101,6325,1728
tabu,1600,RC201,14015,2315
